authority_identifier,authority_name,county
beltrami-forest_twp_mn,Beltrami Forest,Lake of the Woods
birch-lake_twp_mn,Birch Lake,St. Louis
bowstring-lake_twp_mn,Bowstring Lake,Itasca
brook-lake_twp_mn,Brook Lake,Beltrami
clear-creek_twp_mn,Clear Creek,Carlton
davidson_twp_mn,Davidson,Aitkin
dean-lake_twp_mn,Dean Lake,Crow Wing
deer-lake_twp_mn,Deer Lake,Itasca
east-cass_twp_mn,East Cass,Cass
east-cook_twp_mn,East Cook,Cook
east-kittson_twp_mn,East Kittson,Kittson
east-koochiching_twp_mn,East Koochiching,Koochiching
effie_twp_mn,Effie,Itasca
fort-snelling_twp_mn,Fort Snelling,Hennepin
gheen_twp_mn,Gheen,St. Louis
grand-portage_twp_mn,Grand Portage,Cook
gull-lake/crow-wing_twp_mn,Gull Lake,Crow Wing
gull-lake/cass_twp_mn,Gull Lake,Cass
hay-lake_twp_mn,Hay Lake,St. Louis
heikkila-lake_twp_mn,Heikkila Lake,St. Louis
janette-lake_twp_mn,Janette Lake,St. Louis
jewett_twp_mn,Jewett,Aitkin
lake-number-1_twp_mn,Lake Number 1,Lake
lake-number-2_twp_mn,Lake Number 2,Lake
lake-vermilion_twp_mn,Lake Vermilion,St. Louis
little-sand-lake_twp_mn,Little Sand Lake,Itasca
lower-red-lake_twp_mn,Lower Red Lake,Beltrami
mccormack_twp_mn,McCormack,St. Louis
mckinley_twp_mn,McKinley,Kittson
mud-lake_twp_mn,Mud Lake,Marshall
nett-lake/st-louis_twp_mn,Nett Lake,St. Louis
nett-lake/koochiching_twp_mn,Nett Lake,Koochiching
north-beltrami_twp_mn,North Beltrami,Beltrami
north-carlton_twp_mn,North Carlton,Carlton
north-cass_twp_mn,North Cass,Cass
north-clearwater_twp_mn,North Clearwater,Clearwater
north-red-river_twp_mn,North Red River,Kittson
north-roseau_twp_mn,North Roseau,Roseau
northeast-aitkin_twp_mn,Northeast Aitkin,Aitkin
northeast-itasca_twp_mn,Northeast Itasca,Itasca
northeast-saint-louis_twp_mn,Northeast Saint Louis,St. Louis
northome_twp_mn,Northome,Koochiching
northwest-aitkin_twp_mn,Northwest Aitkin,Aitkin
northwest-koochiching_twp_mn,Northwest Koochiching,Koochiching
northwest-roseau_twp_mn,Northwest Roseau,Roseau
northwest-saint-louis_twp_mn,Northwest Saint Louis,St. Louis
pot-shot-lake_twp_mn,Pot Shot Lake,St. Louis
