authority_identifier,authority_name,county
aastad_twp_mn,Aastad,Otter Tail
acoma_twp_mn,Acoma,McLeod
acton_twp_mn,Acton,Meeker
adams_twp_mn,Adams,Mower
adrian_twp_mn,Adrian,Watonwan
aetna_twp_mn,Aetna,Pipestone
agassiz_twp_mn,Agassiz,Lac qui Parle
agder_twp_mn,Agder,Marshall
agram_twp_mn,Agram,Morrison
aitkin_twp_mn,Aitkin,Aitkin
akeley_twp_mn,Akeley,Hubbard
akron/big-stone_twp_mn,Akron,Big Stone
akron/wilkin_twp_mn,Akron,Wilkin
alango_twp_mn,Alango,St. Louis
alaska_twp_mn,Alaska,Beltrami
alba_twp_mn,Alba,Jackson
albany_twp_mn,Albany,Stearns
albert-lea_twp_mn,Albert Lea,Freeborn
alberta_twp_mn,Alberta,Benton
albin_twp_mn,Albin,Brown
albion_twp_mn,Albion,Wright
alborn_twp_mn,Alborn,St. Louis
alden/freeborn_twp_mn,Alden,Freeborn
alden/st-louis_twp_mn,Alden,St. Louis
aldrich_twp_mn,Aldrich,Wadena
alexandria_twp_mn,Alexandria,Douglas
alfsborg_twp_mn,Alfsborg,Sibley
alliance_twp_mn,Alliance,Clay
alma_twp_mn,Alma,Marshall
almond_twp_mn,Almond,Big Stone
alta-vista_twp_mn,Alta Vista,Lincoln
alton_twp_mn,Alton,Waseca
altona_twp_mn,Altona,Pipestone
alvwood_twp_mn,Alvwood,Itasca
amador_twp_mn,Amador,Chisago
amboy_twp_mn,Amboy,Cottonwood
amherst_twp_mn,Amherst,Fillmore
amiret_twp_mn,Amiret,Lyon
amo_twp_mn,Amo,Cottonwood
amor_twp_mn,Amor,Otter Tail
andover_twp_mn,Andover,Polk
andrea_twp_mn,Andrea,Wilkin
angora_twp_mn,Angora,St. Louis
angus_twp_mn,Angus,Polk
ann_twp_mn,Ann,Cottonwood
ann-lake_twp_mn,Ann Lake,Kanabec
ansel_twp_mn,Ansel,Cass
anthony_twp_mn,Anthony,Norman
antrim_twp_mn,Antrim,Watonwan
appleton_twp_mn,Appleton,Swift
arago_twp_mn,Arago,Hubbard
arbo_twp_mn,Arbo,Itasca
arctander_twp_mn,Arctander,Kandiyohi
