axle_description,weight_per_axle,description_summary,axle_count,group_count,approx_axle_length,axle_length,max_axle_width,axle_group_summary,axles_per_group,axle_group_tire_type,axle_group_width,axle_operating_weights,axle_group_weight,axle_group_max_width,axle_group_total_weight,axle_group_distance
duis consequat dui nec nisi volutpat eleifend donec ut,224509.14,etiam faucibus cursus urna,6,9,13.06,19.33,11.69,faucibus orci luctus et,3,2,24.52,71611.48,75470.05,44.11,23114.68,40.53
magna bibendum imperdiet nullam orci pede venenatis non sodales sed,383224.77,blandit nam nulla,7,5,14.71,11.85,17.01,lacus curabitur at ipsum,2,3,35.86,21554.03,92335.82,49.37,80997.37,39.68
est risus auctor sed tristique in tempus sit amet sem,120401.27,vestibulum ante ipsum primis in,10,8,7.38,19.46,7.51,nibh in hac habitasse,4,2,46.09,23057.05,33301.46,32.2,59402.33,42.41
porta volutpat erat quisque erat,117918.98,turpis adipiscing lorem,8,3,12.64,13.42,18.71,ultrices phasellus id,4,2,38.08,28124.22,76321.57,22.96,31066.49,45.7
orci pede venenatis non sodales sed tincidunt eu felis fusce,133185.52,ipsum primis in faucibus orci,7,3,15.38,8.09,7.62,neque vestibulum,2,3,37.1,47601.14,66763.38,35.23,46791.37,31.93
pharetra magna ac consequat metus sapien,367436.25,nulla dapibus dolor,9,6,6.62,16.31,10.57,quisque porta volutpat erat,2,3,42.49,83441.36,34131.65,48.99,95216.98,35.74
quam sapien varius ut blandit non interdum in,486590.59,tellus in sagittis dui,8,10,14.04,9.77,17.28,sed interdum venenatis,3,2,49.64,56459.29,84537.53,39.89,17958.91,35.39
in faucibus orci luctus et ultrices posuere cubilia curae,245976.47,dolor sit,7,2,19.55,16.87,16.24,quis justo maecenas rhoncus,4,3,27.04,71335.04,10117.27,25.34,26493.8,38.86
eu massa donec dapibus duis,160306.89,vestibulum ac est lacinia nisi,3,8,16.07,19.73,10.05,lorem integer,4,3,26.65,51986.51,19276.27,43.63,61792.19,39.71
convallis eget eleifend luctus ultricies eu nibh,228783.69,vestibulum ante ipsum primis,5,6,17.76,14.88,12.63,duis bibendum morbi non quam,3,3,24.11,23244.05,58075.15,42.68,93771.05,27.56
ultrices posuere cubilia curae mauris viverra diam vitae quam,242679.09,ac diam cras pellentesque volutpat,9,10,19.46,8.76,6.84,massa donec dapibus,3,3,41.17,91665.66,46472.4,28.89,29415.87,21.31
